 0.000000	 2.100000	WhiteNoise
 1.875000	 2.975000	BirdI
 2.750000	 3.875000	Noise
 3.650000	 4.400000	BirdI
 4.175000	 4.725000	Noise
 4.500000	 5.550000	BirdI
 5.325000	 5.675000	Noise
 5.450000	 5.700000	BirdI
 5.475000	 6.225000	Noise
 6.000000	 6.300000	BirdI
 6.075000	 6.325000	Noise
 6.100000	 8.475000	BirdI
 8.250000	 9.300000	Noise
 9.075000	10.075000	BirdI
 9.850000	10.150000	Noise
 9.925000	13.350000	BirdI
13.125000	15.525000	Noise
15.300000	18.575000	BirdI
18.350000	20.125000	Noise
19.900000	20.250000	BirdI
20.025000	20.275000	Noise
20.050000	20.600000	BirdI
20.375000	20.650000	Noise
20.425000	21.400000	BirdI
21.175000	21.775000	Noise
21.550000	24.100000	BirdI
23.875000	25.600000	Noise
25.375000	27.500000	BirdI
27.275000	27.525000	Noise
27.300000	27.775000	BirdI
27.550000	29.325000	Noise
29.100000	31.675000	BirdI
31.450000	33.675000	Noise
33.450000	35.550000	BirdI
35.325000	35.600000	Noise
35.375000	35.875000	BirdI
35.650000	38.750000	Noise
38.525000	42.075000	BirdI
41.850000	45.100000	Noise
44.875000	45.675000	BirdI
45.450000	45.700000	Noise
45.475000	45.750000	BirdI
45.525000	45.825000	Noise
45.600000	46.725000	BirdI
46.500000	48.475000	Noise
48.250000	48.950000	BirdI
48.725000	48.975000	Noise
48.750000	52.275000	BirdI
52.050000	55.200000	Noise
54.975000	56.975000	BirdI
56.750000	57.000000	Noise
56.775000	57.025000	BirdI
56.800000	58.125000	Noise
57.900000	59.975000	BirdI
