0.000000	1.449488	BirdI
1.449488	5.270864	Noise
5.270864	6.939971	BirdI
6.890556	8.081991	BirdH
8.081991	14.923133	Noise
14.923133	17.657394	BirdH
17.657394	21.445827	Noise
21.445827	24.114202	BirdH
24.114202	24.465593	Noise
24.465593	27.715959	Noise
27.715959	29.648609	Noise
29.648609	32.591508	BirdI
32.591508	36.764275	Noise
36.764275	39.696193	BirdI
39.696193	40.014641	Noise
40.014641	46.120059	Noise
46.120059	47.119327	Noise
47.119327	49.765739	BirdI
49.765739	56.925329	Noise
56.925329	59.341142	BirdI
59.341142	60.000000	Noise
