0.000000	2.635432	BirdI
2.635432	6.368960	Noise
6.368960	9.531479	BirdI
9.531479	13.001464	Noise
13.001464	15.285505	BirdI
15.286106	18.288799	Noise
18.288799	20.616764	BirdI
20.627745	24.498536	Noise
24.498536	26.801794	BirdI
26.801794	30.623170	Noise
30.623170	33.159773	BirdH
33.159773	36.728587	Noise
36.728587	39.325586	BirdH
39.325586	42.817533	Noise
42.817533	45.542872	BirdI
45.542872	50.407440	Noise
50.407440	52.680500	BirdI
52.680500	56.705710	Noise
56.705710	59.088580	BirdI
59.088580	60.000000	Noise
