0.000000	5.004907	BirdNoise
5.004907	7.713445	BirdA
7.713445	15.250245	BirdNoise
15.250245	17.782139	BirdB
17.782139	19.960746	BirdA
19.960746	22.257115	BirdB
22.257115	24.376840	BirdNoise
24.376840	25.083415	Noise
25.083415	28.380765	BirdB
28.380765	29.205103	BirdNoise
29.205103	31.913641	BirdA
31.913641	33.385672	BirdNoise
33.385672	36.565260	BirdB
36.565260	37.507360	BirdNoise
37.507360	40.510304	BirdA
38.979392	42.865554	BirdB
42.865554	47.105005	BirdNoise
47.105005	51.050049	BirdB
51.050049	55.171737	BirdNoise
55.171737	57.998037	BirdB
57.998037	60.000000	BirdA
